100 0.00440674
110 0.00550983
120 0.00599924
130 0.00678889
140 0.0098564
150 0.0146685
160 0.0160004
170 0.0189892
180 0.0213455
190 0.0245552
200 0.0297341
210 0.0300235
220 0.0356738
230 0.0399234
240 0.0432456
250 0.0490259
260 0.0523487
270 0.0653981
280 0.0699234
290 0.0724184
300 0.0807553
310 0.078673
320 0.0856092
330 0.0960661
340 0.103649
350 0.106786
360 0.118069
370 0.123133
380 0.132408
390 0.138785
850 1.40723
860 1.56745
870 1.59834
890 1.62387
900 1.65567
910 1.69231
920 1.72945
930 1.78259
940 1.79347
